Acuity Level 5 — All Chief Complaint Word Counts
Total complaints: 11398
=============================================
Rank  Word                     Count     % of complaints
-------------------------------------------------------
1     mild                     2509      22.0%
2     worsening                1518      13.3%
3     advice                   1438      12.6%
4     question                 1230      10.8%
5     query                    1073      9.4%
6     review                   1053      9.2%
7     request                  991       8.7%
8     nausea                   950       8.3%
9     removal                  821       7.2%
10    rigors                   815       7.2%
11    yesterday                800       7.0%
12    vomiting                 785       6.9%
13    prescription             783       6.9%
14    days                     778       6.8%
15    fever                    770       6.8%
16    known                    768       6.7%
17    patient                  768       6.7%
18    hours                    763       6.7%
19    diaphoresis              759       6.7%
20    movement                 755       6.6%
21    prior                    751       6.6%
22    history                  751       6.6%
23    associated               731       6.4%
24    onset                    730       6.4%
25    today                    730       6.4%
26    intermittent             724       6.4%
27    constant                 720       6.3%
28    minor                    616       5.4%
29    skin                     614       5.4%
30    referral                 591       5.2%
31    medication               556       4.9%
32    non                      436       3.8%
33    chronic                  425       3.7%
34    routine                  422       3.7%
35    symptoms                 418       3.7%
36    throat                   396       3.5%
37    health                   391       3.4%
38    dietary                  376       3.3%
39    eye                      291       2.6%
40    drop                     291       2.6%
41    glasses                  280       2.5%
42    itchy                    262       2.3%
43    eyes                     262       2.3%
44    specific                 230       2.0%
45    rash                     230       2.0%
46    afebrile                 230       2.0%
47    contraception            224       2.0%
48    headache                 223       2.0%
49    ear                      223       2.0%
50    wax                      223       2.0%
51    seasonal                 222       1.9%
52    allergy                  222       1.9%
53    memory                   220       1.9%
54    complaint                220       1.9%
55    resolved                 219       1.9%
56    diabetes                 218       1.9%
57    antihypertensive         217       1.9%
58    refill                   217       1.9%
59    sti                      217       1.9%
60    screening                217       1.9%
61    activity                 216       1.9%
62    travel                   216       1.9%
63    prophylaxis              216       1.9%
64    residual                 215       1.9%
65    dizziness                215       1.9%
66    joint                    213       1.9%
67    ache                     213       1.9%
68    low                      212       1.9%
69    mood                     212       1.9%
70    suture                   212       1.9%
71    uti                      212       1.9%
72    repeat                   212       1.9%
73    post                     211       1.9%
74    exposure                 211       1.9%
75    acne                     209       1.8%
76    bloating                 208       1.8%
77    endocrine                207       1.8%
78    urgent                   206       1.8%
79    bp                       205       1.8%
80    monitoring               205       1.8%
81    administrative           205       1.8%
82    sore                     205       1.8%
83    mental                   204       1.8%
84    sunburn                  203       1.8%
85    splinter                 203       1.8%
86    cough                    202       1.8%
87    sleep                    202       1.8%
88    hygiene                  202       1.8%
89    runny                    202       1.8%
90    nose                     202       1.8%
91    ibs                      201       1.8%
92    follow                   201       1.8%
93    dry                      201       1.8%
94    abrasion                 200       1.8%
95    small                    199       1.7%
96    cut                      199       1.7%
97    wound                    199       1.7%
98    check                    199       1.7%
99    cardiology               199       1.7%
100   paperwork                199       1.7%
101   inhaler                  197       1.7%
102   technique                197       1.7%
103   urinary                  196       1.7%
104   counselling              194       1.7%
105   adjustment               192       1.7%
106   viral                    191       1.7%
107   urti                     191       1.7%
108   irritation               191       1.7%
109   physiotherapy            190       1.7%
110   medical                  188       1.6%
111   certificate              188       1.6%
112   generalised              188       1.6%
113   muscle                   188       1.6%
114   soreness                 188       1.6%
115   general                  187       1.6%
116   diabetic                 185       1.6%
117   tag                      183       1.6%
118   hearing                  178       1.6%
119   loss                     178       1.6%
120   ecg                      173       1.5%
121   result                   173       1.5%
122   inquiry                  173       1.5%
123   side                     160       1.4%
124   effect                   160       1.4%
