Acuity Level 1 — All Chief Complaint Word Counts
Total complaints: 3222
=============================================
Rank  Word                     Count     % of complaints
-------------------------------------------------------
1     severe                   438       13.6%
2     worsening                399       12.4%
3     acute                    395       12.3%
4     shock                    299       9.3%
5     known                    247       7.7%
6     patient                  247       7.7%
7     fever                    243       7.5%
8     associated               239       7.4%
9     nausea                   239       7.4%
10    syndrome                 235       7.3%
11    diaphoresis              222       6.9%
12    days                     221       6.9%
13    yesterday                221       6.9%
14    vomiting                 218       6.8%
15    massive                  213       6.6%
16    prior                    211       6.5%
17    history                  211       6.5%
18    unresponsive             210       6.5%
19    rigors                   208       6.5%
20    intermittent             206       6.4%
21    movement                 205       6.4%
22    onset                    202       6.3%
23    today                    202       6.3%
24    hours                    194       6.0%
25    constant                 178       5.5%
26    injury                   176       5.5%
27    trauma                   154       4.8%
28    failure                  149       4.6%
29    airway                   136       4.2%
30    traumatic                131       4.1%
31    multi                    108       3.4%
32    necrotising              105       3.3%
33    fasciitis                105       3.3%
34    anaphylaxis              104       3.2%
35    risk                     103       3.2%
36    compromise               98        3.0%
37    ruptured                 97        3.0%
38    compartment              97        3.0%
39    wound                    97        3.0%
40    ischaemia                95        2.9%
41    fulminant                93        2.9%
42    haemorrhage              92        2.9%
43    penetrating              91        2.8%
44    cardiogenic              90        2.8%
45    unknown                  89        2.8%
46    toxic                    85        2.6%
47    collapse                 84        2.6%
48    brain                    84        2.6%
49    arrest                   83        2.6%
50    signs                    83        2.6%
51    status                   79        2.5%
52    meningococcal            77        2.4%
53    fracture                 74        2.3%
54    ovarian                  66        2.0%
55    torsion                  66        2.0%
56    transfusion              66        2.0%
57    requirement              66        2.0%
58    psychosis                63        2.0%
59    violence                 63        2.0%
60    hypoglycaemia            61        1.9%
61    system                   58        1.8%
62    mva                      58        1.8%
63    thyroid                  56        1.7%
64    storm                    56        1.7%
65    bronchospasm             54        1.7%
66    epistaxis                54        1.7%
67    uncontrolled             54        1.7%
68    haemodynamic             54        1.7%
69    blunt                    53        1.6%
70    thoracic                 53        1.6%
71    haemothorax              53        1.6%
72    rapid                    53        1.6%
73    spread                   53        1.6%
74    tension                  53        1.6%
75    pneumothorax             53        1.6%
76    priapism                 52        1.6%
77    obstruction              52        1.6%
78    angioedema               52        1.6%
79    ectopic                  51        1.6%
80    pregnancy                51        1.6%
81    angle                    51        1.6%
82    closure                  51        1.6%
83    glaucoma                 51        1.6%
84    urticaria                50        1.6%
85    orbital                  50        1.6%
86    septic                   50        1.6%
87    organ                    50        1.6%
88    hepatic                  50        1.6%
89    adrenal                  50        1.6%
90    crisis                   50        1.6%
91    pulseless                49        1.5%
92    electrical               49        1.5%
93    activity                 49        1.5%
94    diabetic                 49        1.5%
95    ketoacidosis             49        1.5%
96    obtundation              49        1.5%
97    urinary                  49        1.5%
98    retention                49        1.5%
99    renal                    49        1.5%
100   hyperosmolar             49        1.5%
101   hyperglycaemic           49        1.5%
102   state                    49        1.5%
103   central                  49        1.5%
104   retinal                  49        1.5%
105   artery                   49        1.5%
106   occlusion                49        1.5%
107   respiratory              49        1.5%
108   gunshot                  49        1.5%
109   thorax                   49        1.5%
110   stemi                    48        1.5%
111   abdominal                48        1.5%
112   stab                     48        1.5%
113   locked                   48        1.5%
114   found                    47        1.5%
115   unconscious              47        1.5%
116   mechanism                47        1.5%
117   unclear                  47        1.5%
118   amputation               47        1.5%
119   stevens                  47        1.5%
120   johnson                  47        1.5%
121   crush                    47        1.5%
122   aortic                   46        1.4%
123   aneurysm                 46        1.4%
124   presenting               46        1.4%
125   flank                    46        1.4%
126   pain                     46        1.4%
127   self                     46        1.4%
128   harm                     46        1.4%
129   asthmaticus              46        1.4%
130   treatment                46        1.4%
131   lower                    46        1.4%
132   gi                       46        1.4%
133   hypothermia              45        1.4%
134   electrolyte              45        1.4%
135   disturbance              45        1.4%
136   gcs                      45        1.4%
137   cervical                 45        1.4%
138   spine                    45        1.4%
139   neurological             45        1.4%
140   deficit                  45        1.4%
141   coma                     44        1.4%
142   cause                    44        1.4%
143   ventricular              44        1.4%
144   fibrillation             44        1.4%
145   retropharyngeal          44        1.4%
146   abscess                  44        1.4%
147   mesenteric               43        1.3%
148   septicaemia              43        1.3%
149   hepatitis                43        1.3%
150   neck                     43        1.3%
151   bowel                    42        1.3%
152   perforation              42        1.3%
153   peritonitis              42        1.3%
154   epidermal                42        1.3%
155   necrolysis               42        1.3%
156   globe                    42        1.3%
157   rupture                  42        1.3%
158   active                   40        1.2%
159   suicidal                 40        1.2%
160   attempt                  40        1.2%
161   ongoing                  40        1.2%
162   facial                   40        1.2%
163   fractures                40        1.2%
164   chemical                 40        1.2%
165   eye                      40        1.2%
166   burn                     40        1.2%
167   bilateral                40        1.2%
168   excited                  39        1.2%
169   delirium                 39        1.2%
170   pelvic                   39        1.2%
171   haemodynamically         39        1.2%
172   unstable                 39        1.2%
173   drug                     39        1.2%
174   overdose                 39        1.2%
175   long                     35        1.1%
176   bone                     35        1.1%
177   ischaemic                35        1.1%
178   stroke                   35        1.1%
179   herniation               35        1.1%
180   cardiac                  34        1.1%
181   purpura                  34        1.1%
182   epilepticus              33        1.0%
183   refractory               33        1.0%
184   pulmonary                31        1.0%
185   embolism                 31        1.0%
